# jn, f, bias, beta, 
0.000000000000000000e+00 8.138440987531999626e-01 2.036191434597508287e+00 3.999284405887068017e-01
1.000000000000000000e+00 8.049180170369999443e-01 2.031499523167644927e+00 3.964803487381620695e-01
2.000000000000000000e+00 8.131974264181999201e-01 2.038420640783825011e+00 3.991662396881797137e-01
3.000000000000000000e+00 8.184950315325000281e-01 2.034020632948787544e+00 4.026599134483129228e-01
4.000000000000000000e+00 8.140314914917999856e-01 2.032452020664938352e+00 4.007776314238017390e-01
5.000000000000000000e+00 8.159716512893000484e-01 2.029405802966966377e+00 4.023319764694340828e-01
6.000000000000000000e+00 8.066603833163998871e-01 2.034503154509647249e+00 3.967098268505964698e-01
7.000000000000000000e+00 8.170153489367999455e-01 2.032421688998725440e+00 4.022361968957877676e-01
8.000000000000000000e+00 8.062400341730000530e-01 2.030734482362125171e+00 3.972399403739424462e-01
9.000000000000000000e+00 8.041001562528999891e-01 2.039267197807458576e+00 3.945372751323918958e-01
1.000000000000000000e+01 8.136050403047998536e-01 2.030601774379408031e+00 4.009214641039007820e-01
1.100000000000000000e+01 8.152311904069999837e-01 2.030680349330530987e+00 4.016942408955502808e-01
1.200000000000000000e+01 8.096914089357000188e-01 2.039677632785715122e+00 3.971932261142261389e-01
1.300000000000000000e+01 8.195976992912999970e-01 2.034364352678719179e+00 4.031034811259203154e-01
1.400000000000000000e+01 8.154877751581000034e-01 2.030010270070202960e+00 4.019765510966110678e-01
1.500000000000000000e+01 8.153099105287000548e-01 2.032333962172996777e+00 4.013874792819437931e-01
1.600000000000000000e+01 8.113322041131000306e-01 2.031241474836870342e+00 3.996347942524040020e-01
1.700000000000000000e+01 8.092298918018000498e-01 2.039328988214586413e+00 3.970402385693219682e-01
1.800000000000000000e+01 8.072340631618001305e-01 2.034665440740752285e+00 3.969568601335034530e-01
1.900000000000000000e+01 8.072216702404999555e-01 2.035748273163497490e+00 3.967274570906482167e-01
2.000000000000000000e+01 8.059237872876999775e-01 2.043965743026769921e+00 3.945258915324499349e-01
2.100000000000000000e+01 8.111503791215998183e-01 2.036075298681300882e+00 3.986324203816719036e-01
2.200000000000000000e+01 8.150944072315998712e-01 2.032002568426833466e+00 4.013643856169613056e-01
2.300000000000000000e+01 8.113615490818999465e-01 2.034352975764799343e+00 3.990579594689362408e-01
2.400000000000000000e+01 8.132761871867000281e-01 2.032070598807350859e+00 4.004214341869783977e-01
2.500000000000000000e+01 8.093506257497998790e-01 2.036219779119435636e+00 3.977154434450000942e-01
2.600000000000000000e+01 8.136587426022999781e-01 2.032437323456250944e+00 4.005786685514018397e-01
2.700000000000000000e+01 8.136423637122000008e-01 2.033085566070748751e+00 4.004250315180561959e-01
2.800000000000000000e+01 8.172259993257000588e-01 2.030378097750974664e+00 4.027271235743317690e-01
2.900000000000000000e+01 8.079885898233999386e-01 2.036306878857069069e+00 3.970023586687040362e-01
3.000000000000000000e+01 8.141095211216000660e-01 2.031676977556478469e+00 4.009618620919042087e-01
3.100000000000000000e+01 8.163432784860999991e-01 2.033695287425463238e+00 4.016473356579371434e-01
3.200000000000000000e+01 8.098923486043000386e-01 2.031729753611212885e+00 3.988676461225701408e-01
3.300000000000000000e+01 8.099542760209000880e-01 2.036346989290240383e+00 3.979705675424881073e-01
3.400000000000000000e+01 8.113978489333000255e-01 2.032777224482573253e+00 3.994096901065055105e-01
3.500000000000000000e+01 8.115682343157000211e-01 2.032949309436435037e+00 3.994287024764766603e-01
3.600000000000000000e+01 8.168581931274000452e-01 2.027853151989216229e+00 4.029986115556226656e-01
3.700000000000000000e+01 8.092348919727000434e-01 2.030790052419247704e+00 3.987320636463435042e-01
3.800000000000000000e+01 8.102535691772999593e-01 2.037167427378989260e+00 3.979729743374837980e-01
3.900000000000000000e+01 8.117285378083999303e-01 2.035801036504430339e+00 3.989547768464650201e-01
4.000000000000000000e+01 8.085286767014000509e-01 2.031722381100252495e+00 3.982082791291965407e-01
4.100000000000000000e+01 8.068601040543000869e-01 2.034183439681549466e+00 3.968818531993035248e-01
4.200000000000000000e+01 8.076788111722000840e-01 2.034417753370877602e+00 3.972620923258699532e-01
4.300000000000000000e+01 8.103847216696999922e-01 2.032078476713894855e+00 3.990254616622907480e-01
4.400000000000000000e+01 8.158579151697000764e-01 2.030877850257208461e+00 4.019753964107518618e-01
4.500000000000000000e+01 8.070539993386999233e-01 2.035059228839092071e+00 3.968195296682436868e-01
4.600000000000000000e+01 8.110158360028000279e-01 2.033730934170394189e+00 3.990100286879236791e-01
4.700000000000000000e+01 8.122879137709000386e-01 2.031627523656511336e+00 4.000603368091236178e-01
4.800000000000000000e+01 8.124675213069999513e-01 2.032089522839344742e+00 4.000509678250678824e-01
4.900000000000000000e+01 8.119234849848999680e-01 2.035341938135790230e+00 3.991575827915601060e-01
5.000000000000000000e+01 8.093339530862000419e-01 2.040848941802670957e+00 3.967839461472715268e-01
5.100000000000000000e+01 8.141301435759999983e-01 2.028550400569794743e+00 4.015766562794002570e-01
5.200000000000000000e+01 8.130588806806999802e-01 2.034076137777216520e+00 3.999575890961284408e-01
5.300000000000000000e+01 8.052855793172000176e-01 2.037270262358939821e+00 3.955082481849152565e-01
5.400000000000000000e+01 8.006257564669999605e-01 2.037189287515161595e+00 3.932423551220596281e-01
5.500000000000000000e+01 8.111339626724000107e-01 2.031700427916222740e+00 3.995271798190170309e-01
5.600000000000000000e+01 8.158513847180000056e-01 2.029990515429262121e+00 4.021310313205443965e-01
5.700000000000000000e+01 8.106914179377999741e-01 2.037418682651396917e+00 3.981344946502909932e-01
5.800000000000000000e+01 8.105002968268000263e-01 2.035680007610352060e+00 3.983708699553447641e-01
5.900000000000000000e+01 8.164785618237999643e-01 2.033474675451889979e+00 4.017059645160241388e-01
6.000000000000000000e+01 8.083948544430000771e-01 2.036251196977578726e+00 3.972255276353455211e-01
6.100000000000000000e+01 8.073328930418000038e-01 2.031625066765063270e+00 3.976380078536042029e-01
6.200000000000000000e+01 8.121536187219999814e-01 2.030195481299377214e+00 4.002667154931435212e-01
6.300000000000000000e+01 8.089265049542001540e-01 2.029238853829096634e+00 3.988597912556894887e-01
6.400000000000000000e+01 8.108546802335000470e-01 2.034155617133463601e+00 3.988330535326043980e-01
6.500000000000000000e+01 8.202136837941997882e-01 2.032178063734917384e+00 4.038473843154553600e-01
6.600000000000000000e+01 8.125971044960998979e-01 2.030434800222574943e+00 4.004333224199576602e-01
6.700000000000000000e+01 8.139746006541001000e-01 2.027417303654611036e+00 4.017404959599017999e-01
6.800000000000000000e+01 8.076716390729000716e-01 2.035076804573444420e+00 3.971323868125166690e-01
6.900000000000000000e+01 8.110652093982998467e-01 2.037221254524628655e+00 3.983502971214082922e-01
7.000000000000000000e+01 8.105080178372000566e-01 2.035515859718759923e+00 3.983943012150958363e-01
7.100000000000000000e+01 8.126412183011000323e-01 2.031914743097443132e+00 4.001831279044918421e-01
7.200000000000000000e+01 8.118810126790000359e-01 2.032882389006455348e+00 3.995923581616578346e-01
7.300000000000000000e+01 8.135333443117999108e-01 2.030356614195715892e+00 4.009331856690578899e-01
7.400000000000000000e+01 8.089600493073999532e-01 2.033093525919242861e+00 3.981246033042549204e-01
7.500000000000000000e+01 8.158018997809001194e-01 2.032531161760742666e+00 4.015992602844908332e-01
7.600000000000000000e+01 8.142222913839000098e-01 2.033310066123693360e+00 4.006660202717498565e-01
7.700000000000000000e+01 8.077159773184999780e-01 2.036810057690173537e+00 3.967796434525851512e-01
7.800000000000000000e+01 8.120866724158999350e-01 2.032472388562377663e+00 3.997935612389115767e-01
7.900000000000000000e+01 8.192172754298000514e-01 2.028292999347973247e+00 4.041116671277727446e-01
8.000000000000000000e+01 8.045634230870000181e-01 2.037688704245526505e+00 3.950707351245721921e-01
8.100000000000000000e+01 8.107651213270999913e-01 2.032166442072821599e+00 3.991902858257337927e-01
8.200000000000000000e+01 8.149562466630000390e-01 2.029789862210952922e+00 4.017264396059646581e-01
8.300000000000000000e+01 8.132146713101001678e-01 2.031305241328956512e+00 4.005866314840910714e-01
8.400000000000000000e+01 8.091584199032999525e-01 2.034429326827714046e+00 3.979847962044420484e-01
8.500000000000000000e+01 8.089724312117999583e-01 2.034784839744122831e+00 3.978047306504702840e-01
8.600000000000000000e+01 8.059879104418999907e-01 2.031380594718402488e+00 3.970312990885275228e-01
8.700000000000000000e+01 8.091718896578000697e-01 2.034655215398584627e+00 3.979289410006979222e-01
8.800000000000000000e+01 8.119008396681000050e-01 2.036032461422381257e+00 3.989732150614095918e-01
8.900000000000000000e+01 8.090706656621999837e-01 2.032821112143283759e+00 3.982498405525404239e-01
9.000000000000000000e+01 8.121404968630999699e-01 2.036462932140627125e+00 3.990191708411649496e-01
9.100000000000000000e+01 8.136602147494998993e-01 2.034457356274501194e+00 4.001856784089736219e-01
9.200000000000000000e+01 8.104750668130999980e-01 2.035336384471278848e+00 3.984312131080482433e-01
9.300000000000000000e+01 8.088695428509999896e-01 2.036890519897188057e+00 3.972990857655859243e-01
9.400000000000000000e+01 8.184268438038999616e-01 2.030880550752232949e+00 4.032396250930325721e-01
9.500000000000000000e+01 8.136752428476000665e-01 2.028397833260849215e+00 4.013676179992227699e-01
9.600000000000000000e+01 8.106386666015000797e-01 2.030825035908669918e+00 3.994114823966521399e-01
9.700000000000000000e+01 8.146733448515000031e-01 2.030257930858196058e+00 4.015155213147529878e-01
9.800000000000000000e+01 8.116978514209000073e-01 2.028351782654403301e+00 4.004055344474224398e-01
9.900000000000000000e+01 8.111230438786999342e-01 2.029439788359736152e+00 3.999355098309511081e-01
